“Š‹…”N,“Š‹…ŒŽ,“Š‹…“ú,“Š‹…ŽžŠÔ,yy,seq,timestamp(ms),measure_interval(ms),timestamp(count),mx[LSB],my[LSB],mz[LSB],low_ax[LSB],low_ay[LSB],low_az[LSB],hi_ax[LSB],hi_ay[LSB],hi_az[LSB],gyro_x[LSB],gyro_y[LSB],gyro_z[LSB],mx[mGauss],my[mGauss],mz[mGauss],low_ax[mg],low_ay[mg],low_az[mg],hi_ax[g],hi_ay[g],hi_az[g],gyro_x[dps],gyro_y[dps],gyro_z[dps],status
[2023/06/12 11:43:06],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
== yy0 ==============,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,6.0,12.0,114306.0,0.0,32.0,622.0,20.0,-139.0,60.0,26.0,31.0,-9.0,-54.0,11.0,-3.0,-15.0,2.0,0.0,0.0,-354.785,121.924,101.8627,514.4551,-133.0067,-850.3708,0.03272712,0.4218182,-0.03636384,-0.3220789,-0.18544,0.4050401,,
2023,6.0,12.0,114306.0,0.0,33.0,642.0,20.0,-141.0,59.0,22.0,31.0,-9.0,-53.0,14.0,-1.0,-18.0,2.0,0.0,-1.0,-359.323,120.2329,97.08655,514.4551,-133.0067,-834.3382,0.3054544,0.6036364,-0.3090911,-0.3220789,-0.18544,-0.08295995,,
2023,6.0,12.0,114306.0,0.0,34.0,662.0,20.0,-141.0,61.0,23.0,31.0,-9.0,-54.0,16.0,-6.0,-12.0,3.0,0.0,-1.0,-359.513,124.2715,97.22955,514.4551,-133.0067,-850.3708,0.4872726,0.1490909,0.2363634,0.1659211,-0.18544,-0.08295995,,
2023,6.0,12.0,114306.0,0.0,35.0,682.0,20.0,-139.0,59.0,26.0,31.0,-9.0,-53.0,11.0,-6.0,-16.0,3.0,1.0,0.0,-354.709,119.8776,102.5315,514.4551,-133.0067,-834.3382,0.03272712,0.1490909,-0.127273,0.1659211,0.30256,0.4050401,,
2023,6.0,12.0,114306.0,0.0,36.0,702.0,20.0,-139.0,62.0,23.0,31.0,-9.0,-54.0,10.0,-6.0,-12.0,3.0,0.0,-1.0,-354.823,126.1797,96.08278,514.4551,-133.0067,-850.3708,-0.05818194,0.1490909,0.2363634,0.1659211,-0.18544,-0.08295995,,
2023,6.0,12.0,114306.0,0.0,37.0,722.0,20.0,-140.0,61.0,24.0,31.0,-9.0,-53.0,7.0,-3.0,-11.0,2.0,0.0,0.0,-357.168,124.148,98.47131,514.4551,-133.0067,-834.3382,-0.3309093,0.4218182,0.3272725,-0.3220789,-0.18544,0.4050401,,
2023,6.0,12.0,114306.0,0.0,38.0,742.0,20.0,-138.0,60.0,26.0,31.0,-9.0,-54.0,11.0,-4.0,-9.0,3.0,1.0,0.0,-352.402,121.8549,101.6237,514.4551,-133.0067,-850.3708,0.03272712,0.3309091,0.5090907,0.1659211,0.30256,0.4050401,,
2023,6.0,12.0,114306.0,0.0,39.0,762.0,20.0,-142.0,59.0,25.0,31.0,-9.0,-54.0,9.0,0.0,-18.0,1.0,0.0,-1.0,-361.82,120.1392,101.7676,514.4551,-133.0067,-850.3708,-0.1490911,0.6945455,-0.3090911,-0.8100789,-0.18544,-0.08295995,,
2023,6.0,12.0,114306.0,0.0,40.0,782.0,20.0,-141.0,59.0,23.0,31.0,-10.0,-53.0,11.0,-2.0,-19.0,3.0,0.0,-2.0,-359.361,120.1787,98.56726,514.4551,-149.0394,-834.3382,0.03272712,0.5127273,-0.4000002,0.1659211,-0.18544,-0.5709599,,
2023,6.0,12.0,114306.0,0.0,41.0,802.0,20.0,-141.0,58.0,23.0,31.0,-9.0,-54.0,8.0,-7.0,-14.0,2.0,1.0,-2.0,-359.285,118.1323,99.23612,514.4551,-133.0067,-850.3708,-0.2400001,0.05818188,0.05454528,-0.3220789,0.30256,-0.5709599,,
2023,6.0,12.0,114306.0,0.0,42.0,822.0,20.0,-142.0,59.0,26.0,31.0,-9.0,-54.0,12.0,-12.0,-11.0,2.0,1.0,-2.0,-361.858,120.0849,103.2484,514.4551,-133.0067,-850.3708,0.1236362,-0.3963636,0.3272725,-0.3220789,0.30256,-0.5709599,,
2023,6.0,12.0,114306.0,0.0,43.0,842.0,20.0,-138.0,59.0,24.0,31.0,-9.0,-54.0,11.0,-3.0,-19.0,3.0,0.0,-1.0,-352.25,119.9171,99.33114,514.4551,-133.0067,-850.3708,0.03272712,0.4218182,-0.4000002,0.1659211,-0.18544,-0.08295995,,
2023,6.0,12.0,114306.0,0.0,44.0,862.0,20.0,-140.0,58.0,23.0,31.0,-9.0,-53.0,10.0,-11.0,-12.0,3.0,1.0,-1.0,-356.902,118.0631,98.99718,514.4551,-133.0067,-834.3382,-0.05818194,-0.3054545,0.2363634,0.1659211,0.30256,-0.08295995,,
2023,6.0,12.0,114306.0,0.0,45.0,882.0,20.0,-141.0,58.0,23.0,31.0,-9.0,-53.0,11.0,-11.0,-16.0,3.0,0.0,-1.0,-359.285,118.1323,99.23612,514.4551,-133.0067,-834.3382,0.03272712,-0.3054545,-0.127273,0.1659211,-0.18544,-0.08295995,,
2023,6.0,12.0,114306.0,0.0,46.0,902.0,20.0,-140.0,61.0,23.0,31.0,-9.0,-53.0,10.0,-6.0,-13.0,2.0,0.0,-1.0,-357.13,124.2024,96.9906,514.4551,-133.0067,-834.3382,-0.05818194,0.1490909,0.1454544,-0.3220789,-0.18544,-0.08295995,,
2023,6.0,12.0,114306.0,0.0,47.0,922.0,20.0,-139.0,58.0,22.0,31.0,-9.0,-53.0,2.0,-9.0,-15.0,2.0,1.0,-1.0,-354.481,118.0484,97.27752,514.4551,-133.0067,-834.3382,-0.7854547,-0.1236363,-0.03636384,-0.3220789,0.30256,-0.08295995,,
2023,6.0,12.0,114306.0,0.0,48.0,942.0,20.0,-139.0,57.0,25.0,31.0,-9.0,-54.0,8.0,-10.0,-14.0,3.0,0.0,-1.0,-354.519,115.8391,102.3885,514.4551,-133.0067,-850.3708,-0.2400001,-0.2145454,0.05454528,0.1659211,-0.18544,-0.08295995,,
2023,6.0,12.0,114306.0,0.0,49.0,962.0,20.0,-140.0,59.0,24.0,31.0,-9.0,-54.0,13.0,-7.0,-13.0,2.0,1.0,-1.0,-357.016,120.0553,99.80903,514.4551,-133.0067,-850.3708,0.2145452,0.05818188,0.1454544,-0.3220789,0.30256,-0.08295995,,
2023,6.0,12.0,114306.0,0.0,50.0,982.0,20.0,-140.0,59.0,24.0,31.0,-9.0,-54.0,2.0,-8.0,-12.0,3.0,0.0,0.0,-357.016,120.0553,99.80903,514.4551,-133.0067,-850.3708,-0.7854547,-0.03272724,0.2363634,0.1659211,-0.18544,0.4050401,,
2023,6.0,12.0,114306.0,0.0,51.0,1002.0,20.0,-142.0,58.0,24.0,31.0,-9.0,-54.0,10.0,-10.0,-9.0,2.0,0.0,-1.0,-361.706,118.1471,100.9558,514.4551,-133.0067,-850.3708,-0.05818194,-0.2145454,0.5090907,-0.3220789,-0.18544,-0.08295995,,
2023,6.0,12.0,114306.0,0.0,52.0,1022.0,20.0,-140.0,59.0,22.0,31.0,-9.0,-54.0,10.0,4.0,-16.0,2.0,1.0,-1.0,-356.94,120.1638,96.8476,514.4551,-133.0067,-850.3708,-0.05818194,1.058182,-0.127273,-0.3220789,0.30256,-0.08295995,,
2023,6.0,12.0,114306.0,0.0,53.0,1042.0,20.0,-139.0,59.0,24.0,31.0,-9.0,-54.0,12.0,-9.0,-8.0,3.0,1.0,-1.0,-354.633,119.9861,99.57008,514.4551,-133.0067,-850.3708,0.1236362,-0.1236363,0.5999998,0.1659211,0.30256,-0.08295995,,
2023,6.0,12.0,114306.0,0.0,54.0,1062.0,20.0,-139.0,58.0,23.0,31.0,-9.0,-53.0,14.0,-11.0,-10.0,3.0,1.0,0.0,-354.519,117.9941,98.75824,514.4551,-133.0067,-834.3382,0.3054544,-0.3054545,0.4181816,0.1659211,0.30256,0.4050401,,
2023,6.0,12.0,114306.0,0.0,55.0,1082.0,20.0,-142.0,59.0,22.0,31.0,-9.0,-54.0,9.0,-5.0,-11.0,3.0,0.0,0.0,-361.706,120.3021,97.32549,514.4551,-133.0067,-850.3708,-0.1490911,0.24,0.3272725,0.1659211,-0.18544,0.4050401,,
2023,6.0,12.0,114306.0,0.0,56.0,1102.0,20.0,-142.0,60.0,23.0,31.0,-9.0,-54.0,10.0,-8.0,-5.0,3.0,0.0,-1.0,-361.82,122.2942,98.13734,514.4551,-133.0067,-850.3708,-0.05818194,-0.03272724,0.872727,0.1659211,-0.18544,-0.08295995,,
2023,6.0,12.0,114306.0,0.0,57.0,1122.0,20.0,-138.0,59.0,23.0,31.0,-9.0,-54.0,12.0,-17.0,-7.0,3.0,0.0,-1.0,-352.212,119.9714,97.85042,514.4551,-133.0067,-850.3708,0.1236362,-0.850909,0.6909089,0.1659211,-0.18544,-0.08295995,,
2023,6.0,12.0,114306.0,0.0,58.0,1142.0,20.0,-141.0,60.0,24.0,31.0,-9.0,-54.0,6.0,-12.0,-12.0,3.0,1.0,-1.0,-359.475,122.1708,99.37911,514.4551,-133.0067,-850.3708,-0.4218183,-0.3963636,0.2363634,0.1659211,0.30256,-0.08295995,,
2023,6.0,12.0,114306.0,0.0,59.0,1162.0,20.0,-142.0,60.0,25.0,31.0,-9.0,-53.0,9.0,-5.0,-6.0,3.0,0.0,-1.0,-361.896,122.1855,101.0988,514.4551,-133.0067,-834.3382,-0.1490911,0.24,0.781818,0.1659211,-0.18544,-0.08295995,,
2023,6.0,12.0,114306.0,0.0,60.0,1182.0,20.0,-139.0,59.0,24.0,31.0,-9.0,-54.0,11.0,-12.0,-16.0,2.0,0.0,-1.0,-354.633,119.9861,99.57008,514.4551,-133.0067,-850.3708,0.03272712,-0.3963636,-0.127273,-0.3220789,-0.18544,-0.08295995,,
2023,6.0,12.0,114306.0,0.0,61.0,1202.0,20.0,-139.0,60.0,22.0,31.0,-9.0,-54.0,9.0,-11.0,-20.0,3.0,-1.0,-1.0,-354.633,122.1412,95.9398,514.4551,-133.0067,-850.3708,-0.1490911,-0.3054545,-0.4909093,0.1659211,-0.67344,-0.08295995,,
2023,6.0,12.0,114306.0,0.0,62.0,1222.0,20.0,-140.0,59.0,23.0,31.0,-9.0,-53.0,10.0,-9.0,-13.0,3.0,0.0,-1.0,-356.978,120.1096,98.32832,514.4551,-133.0067,-834.3382,-0.05818194,-0.1236363,0.1454544,0.1659211,-0.18544,-0.08295995,,
2023,6.0,12.0,114306.0,0.0,63.0,1242.0,20.0,-140.0,61.0,25.0,31.0,-9.0,-54.0,17.0,-9.0,-14.0,2.0,0.0,-1.0,-357.206,124.0938,99.95203,514.4551,-133.0067,-850.3708,0.5781816,-0.1236363,0.05454528,-0.3220789,-0.18544,-0.08295995,,
2023,6.0,12.0,114306.0,0.0,64.0,1262.0,20.0,-139.0,60.0,24.0,31.0,-10.0,-54.0,15.0,-8.0,-13.0,3.0,0.0,-1.0,-354.709,122.0325,98.90122,514.4551,-149.0394,-850.3708,0.3963635,-0.03272724,0.1454544,0.1659211,-0.18544,-0.08295995,,
2023,6.0,12.0,114306.0,0.0,65.0,1282.0,20.0,-139.0,57.0,25.0,31.0,-9.0,-54.0,8.0,-1.0,-19.0,2.0,1.0,-1.0,-354.519,115.8391,102.3885,514.4551,-133.0067,-850.3708,-0.2400001,0.6036364,-0.4000002,-0.3220789,0.30256,-0.08295995,,
2023,6.0,12.0,114306.0,0.0,66.0,1302.0,20.0,-140.0,60.0,23.0,31.0,-9.0,-54.0,13.0,-12.0,-17.0,3.0,1.0,-1.0,-357.054,122.1559,97.65946,514.4551,-133.0067,-850.3708,0.2145452,-0.3963636,-0.218182,0.1659211,0.30256,-0.08295995,,
2023,6.0,12.0,114306.0,0.0,67.0,1322.0,20.0,-140.0,60.0,24.0,32.0,-9.0,-54.0,13.0,-6.0,-23.0,3.0,0.0,-1.0,-357.092,122.1017,99.14017,530.4877,-133.0067,-850.3708,0.2145452,0.1490909,-0.7636365,0.1659211,-0.18544,-0.08295995,,
